"Tipo","horario","Nombre","Base","Departamento","Dirección","x","y",""
"SVB","12H N","BRAVO 62","CS BUÑOL","23","Av. Rafael Ridaura, 17, 46360 Buñol, Valencia","39.4261550903","-0.78542590",""
"SVB","24H","BRAVO 63","CS CHIVA","23","C. Alcalde Urbino Blay Mańez, 4, 46370 Chiva, Valencia","39.469306469","-0.71219087",""
"SVB","24H","BRAVO 64","CS AYORA","8","C. Manuel Reig, 28, 46620 Ayora, Valencia","39.0560638905","-1.05264902",""
"SVB","12H","BRAVO 65","CS REQUENA","8","C. Constitución, 47, 46340 Requena, Valencia","39.4883394241","-1.09678745",""
"SVB","12H","BRAVO 66","CS TURIS","23","C. del Músico José Vicente Herrera, S/N, 46389 Turís, Valencia","39.3882501125","-0.71714759",""
"SVB","12H","BRAVO 90","CS ALACUAS","9","Av. Miguel Hernández, 3, 46960 Aldaia, Valencia","39.4664204121","-0.46742320",""
"SVB","12H","BRAVO 91","CS GODELLA","6","Carrer Sant Sebastià, 30, 46110 Godella, Valencia","39.5226609707","-0.41625738",""
"SVB","24H","BRAVO 92","CS QUART DE POBLET","23","","","",""
"SVB","24H","BRAVO 93","ALDAIA BASE AUTONOMAS","23","Av. Miguel Hernández, 3, 46960 Aldaia, Valencia","39.4664204121","-0.46742320",""
"SVB","24H","BRAVO 94","CS TORRENTE","9","Carrer Pintor Ribera, 28, 46900 Torrent, Valencia","39.43479180","-0.47506213",""
"SVB","24H","BRAVO 95","CS CATARROJA","7","","","",""
"SVB","24H","BRAVO 96","CS PICASSENT","10","Carrer Major, 100, 46220 Picassent, Valencia","39.3601512909","-0.46168327",""
"SVB","24H","BRAVO 97","CS PATERNA","6","Plaça Clot de Joan, s/n, 46980 Paterna, Valencia","39.5047438145","-0.44267178",""
"SVB","24H","BRAVO 98","H MILITAR MISLATA","23","","","",""
"SVB","12H","BRAVO 99","CS SILLA","10","Av. d'Ausiàs March, 14, 46460 Silla, Valencia","39.3580377102","-0.41175127",""
"SAMU","24H","DELTA 3","CS L´ALCUDIA","11","Carrer del Professor Manuel Broseta Pont, 8, 46250 L'Alcúdia, Valencia","39.1939508915","-0.51097155",""
"SAMU","24H","DELTA 4","CS SUECA","11","Carrer de les Palmeres, s/n, 46410 Sueca, Valencia","39.2036604881","-0.30594349",""
"SAMU","24H","DELTA 5","H. GANDIA","12","Avinguda de la Medicina, 6, 46702 Gandia, València","38.9628088474","-0.17012715",""
"SAMU","24H","DELTA 7","H. XATIVA","14","Carretera Xátiva-Silla, Km 2, 46800 Xàtiva, Valencia","39.0071725845","-0.50989866",""
"SAMU","24H","DELTA 8","H. ONTENIENTE","14","Avinguda de Francisco Cerdà, 3, 46870 Ontinyent, Valencia","38.8200080395","-0.60350776",""
"SAMU","12H","DELTA 9","CS OLIVA","12","Carrer de l'Historiador Bernardí Llorca, 46780 Oliva, Valencia","38.9250004292","-0.12546301",""
"SVB","24H","BRAVO 31","CS ALGEMESI","11","Carrer de Santa Teresa, s/n, 46680 Algemesí, Valencia","39.1961073875","-0.43760777",""
"SVB","12H","BRAVO 32","CS CARLET","11","Camì de Sant Bernat, 1, 46240 Carlet, Valencia","39.2315769196","-0.52678585",""
"SVB","12H","BRAVO 33","CS CARCAIXENT","11","Carrer Bagnols sur Cèze, 0 S/N, 46740 Carcaixent, Valencia","39.12404180","-0.45028925",""
"SVB","12H","BRAVO 41","CS CULLERA","11","Avinguda del País Valencià, 4, 46400 Cullera, Valencia","39.1620647907","-0.25440216",""
"SVB","12H","BRAVO 42","CS SUECA","11","Avinguda del País Valencià, 4, 46400 Cullera, Valencia","39.1620647907","-0.25440216",""
"SVB","24H","BRAVO 51","CS GRAO GANDIA","12","Carrer de la Goleta, 13, 46730 Gandia, Valencia","38.9905428886","-0.16172647",""
"SVB","24H","BRAVO 52","CS OLIVA","12","Carrer de l'Historiador Bernardí Llorca, 46780 Oliva, Valencia","38.9250969887","-0.12538791",""
"SVB","12H","BRAVO 53","CS TAVERNES VALLDIGNA","12","","","",""
"SVB","12H","BRAVO 55","CS CAST RUGAT-ADOR","12","","","",""
"SVB","24H","BRAVO 71","CS ONTENIENTE","14","Av. d'Albaida, 35, 46870 Ontinyent, Valencia","38.8210380077","-0.59741378",""
"SVB","12H","BRAVO 72","CS OLLERIA","14","Plaza de la Virgen de Loreto, 0, 46850 Ollería (L'), Valencia","38.9136815071","-0.55009961",""
"SVB","24H","BRAVO 81","H. XATIVA","14","Carretera Xátiva-Silla, Km 2, 46800 Xàtiva, Valencia","39.0071082115","-0.51014543",""
"SVB","24H","BRAVO 82","CS NAVARRES","14","C. Alegría de la Huerta, 55, 46823 Navarrés, Valencia","39.1013717651","-0.69535732",""
"SVB","24H","BRAVO 83","MOGENTE FORESTALES","14","Carrer Riu Canyoles, 2, 46640 Moixent, Valencia","38.8739204407","-0.75465560",""
"SVB","12H","BRAVO 84","CS Vª DE CASTELLON","14","Carrer Vicent Andrés Estellés, 5, 46270 Castelló, Valencia","39.0803003311","-0.51267743",""
"","","","","","","","",""
